emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,gesture
27,6,100,90,13,18,8,10,0
4,97,100,3,10,3,9,10,0
16,62,14,100,12,1,0,3,0
1,100,33,35,25,5,0,9,0
15,54,35,100,15,5,3,1,0
6,100,62,44,6,39,3,5,0
30,95,43,100,34,8,12,15,0
4,56,100,20,4,8,0,4,0
2,100,8,12,20,2,1,7,0
3,7,88,100,21,1,4,3,0
3,21,7,100,1,16,2,1,0
65,39,100,19,45,28,23,23,0
25,100,18,13,18,16,2,8,0
32,50,100,19,3,15,13,15,0
7,72,60,100,20,10,1,0,0
22,100,33,42,13,4,5,11,0
51,44,77,100,3,11,11,25,0
32,29,100,22,42,7,1,13,0
1,100,43,67,1,14,1,0,0
8,100,35,16,8,0,1,3,0
14,100,59,5,0,3,5,10,0
2,77,100,68,22,6,2,2,0
9,84,100,50,19,5,1,0,0
16,100,8,44,8,17,2,6,0
30,100,23,24,6,30,4,10,0
14,0,100,98,13,11,4,7,0
4,100,86,3,5,6,2,4,0
7,92,46,100,17,5,0,0,0
12,27,100,11,1,5,2,2,0
6,100,23,17,4,2,0,0,0
1,100,28,1,8,16,0,0,0
0,28,100,22,5,1,1,1,0
5,77,100,30,2,27,0,1,0
20,92,0,100,8,0,12,14,0
12,25,53,100,1,3,3,1,0
26,100,27,30,7,3,0,1,0
13,73,13,100,1,5,1,7,0
9,100,84,42,38,1,0,1,0
5,81,100,53,4,4,2,1,0
43,100,31,20,6,1,4,4,0
10,100,37,37,0,10,0,1,0
9,77,100,94,14,16,1,4,0
13,100,4,84,52,13,4,9,0
21,13,65,100,19,0,11,11,0
15,100,37,6,13,10,0,4,0
7,61,100,24,11,20,14,10,0
23,100,60,57,16,3,5,14,0
7,100,33,55,14,6,1,4,0
1,25,100,24,37,11,9,3,0
4,90,88,100,20,11,2,2,0
9,14,100,26,18,11,3,0,0
19,100,69,25,15,15,4,6,0
18,100,77,7,2,1,1,1,0
0,95,100,75,8,6,2,0,0
8,24,100,20,6,7,4,4,0
0,40,100,0,3,0,0,0,0
2,54,100,8,4,0,0,0,0
11,100,33,15,15,9,3,3,0
12,20,93,100,18,1,3,3,0
9,100,57,16,4,6,0,0,0
9,30,100,45,2,2,2,1,0
2,51,100,100,2,17,4,4,0
17,1,14,100,29,1,3,8,0
4,57,100,26,16,1,1,4,0
15,100,81,63,2,5,2,5,0
28,88,100,60,2,16,4,12,0
13,40,100,54,10,1,4,7,0
6,42,34,100,14,8,2,4,0
7,58,92,100,10,2,5,2,0
45,34,100,2,37,18,2,8,0
3,64,100,4,18,23,4,7,0
14,52,100,23,7,0,4,2,0
7,100,72,100,27,9,5,10,0
16,63,88,100,8,2,2,0,0
28,100,90,2,8,0,6,6,0
5,66,100,8,6,2,4,4,0
0,45,24,100,13,8,0,5,0
1,100,87,32,3,1,7,4,0
4,90,100,36,3,15,0,3,0
27,100,20,52,13,1,0,4,0
20,96,42,100,27,12,9,9,0
16,35,100,28,2,1,1,7,0
32,100,45,24,18,8,8,11,0
5,100,85,44,5,1,0,0,0
40,44,40,100,27,18,9,18,0
38,58,100,41,38,8,2,19,0
12,43,100,19,0,3,1,3,0
19,66,71,100,9,12,6,7,0
5,69,100,46,10,18,1,0,0
8,100,11,45,14,2,0,1,0
30,86,8,100,52,25,11,16,0
22,15,100,20,0,3,1,5,0
19,19,38,100,30,19,6,10,0
47,86,100,27,19,5,15,25,0
33,10,100,66,26,10,5,0,0
25,100,5,86,17,7,2,10,0
4,100,12,8,3,2,1,4,0
100,84,57,78,89,36,36,63,0
1,11,100,51,14,7,2,1,0
2,17,100,19,2,0,3,0,0
19,100,56,21,58,21,19,10,0
0,100,19,17,28,0,3,0,0
14,75,100,34,11,4,1,8,0
31,100,2,31,68,8,12,11,0
4,24,18,100,19,10,7,3,0
33,100,40,62,46,2,0,2,0
45,100,52,27,85,9,1,5,0
15,100,25,42,34,18,10,14,0
26,12,100,89,1,1,2,5,0
34,100,9,71,3,6,6,15,0
7,8,37,100,16,6,3,4,0
30,100,67,9,0,11,0,11,0
0,100,11,77,5,5,2,2,0
10,100,15,11,10,7,3,3,0
7,100,73,12,22,0,1,5,0
34,100,100,17,76,13,0,6,0
22,19,100,72,15,5,2,1,0
13,41,18,100,20,1,1,10,0
12,26,83,100,36,5,0,0,0
17,86,28,100,52,6,2,15,0
37,83,33,26,100,9,4,22,0
30,61,100,81,6,17,3,3,0
45,100,57,32,9,20,11,18,0
31,45,100,73,32,1,13,15,0
17,100,15,6,5,5,4,5,0
17,2,47,100,33,12,6,7,0
5,100,74,15,21,10,2,0,0
1,50,66,100,31,10,14,8,0
15,100,6,21,16,4,5,8,0
14,79,28,100,1,13,8,8,0
1,100,37,53,0,5,0,0,0
17,17,100,37,10,1,1,1,0
16,38,100,7,4,3,1,1,0
0,8,44,100,11,10,2,1,0
37,23,100,34,1,0,6,13,0
4,13,68,100,24,16,0,2,0
7,50,100,6,59,1,8,11,0
19,100,48,0,19,11,3,0,0
24,100,75,8,26,4,0,1,0
3,100,40,30,30,4,0,1,0
40,3,11,100,19,14,1,11,0
40,81,100,29,32,8,5,10,0
6,100,81,55,22,6,4,2,0
2,100,36,46,3,0,1,1,0
11,9,100,43,1,10,3,6,0
6,93,30,100,23,4,3,0,0
9,52,100,23,11,7,1,7,0
0,9,100,57,32,3,0,0,0
6,73,12,100,4,6,2,1,0
50,19,34,100,15,1,22,25,0
30,93,100,28,0,41,16,8,0
18,61,100,94,2,7,3,8,0
0,43,100,74,69,27,20,22,0
30,85,100,15,78,6,18,18,0
0,59,26,100,8,7,0,6,0
14,79,10,100,22,7,0,5,0
14,60,100,36,0,2,4,0,0
27,45,100,5,0,6,1,5,0
17,20,1,8,1,35,2,100,1
3,40,10,10,0,0,33,100,1
4,72,6,6,1,42,100,54,1
100,97,8,5,3,52,24,95,1
48,85,4,5,0,85,100,25,1
2,32,100,9,6,45,7,26,1
72,55,11,20,16,100,26,5,1
54,100,92,21,16,12,23,80,1
8,90,1,17,14,100,30,38,1
59,0,70,51,23,61,25,100,1
4,98,36,3,3,100,7,10,1
12,11,26,0,0,17,29,100,1
100,33,40,15,12,96,70,52,1
26,100,45,21,12,61,12,35,1
26,74,14,1,7,62,13,100,1
46,100,2,4,1,44,58,100,1
9,10,3,0,3,100,43,17,1
9,44,12,0,0,100,75,73,1
17,79,34,3,3,100,62,51,1
69,39,37,9,5,30,37,100,1
52,100,22,2,6,18,85,37,1
21,7,24,0,2,100,85,24,1
3,18,25,11,0,85,68,100,1
4,1,1,1,0,18,32,100,1
7,9,3,1,1,20,0,100,1
2,86,32,2,10,41,100,73,1
29,38,2,1,3,61,81,100,1
